plant_genus_species,MF,abscission_num,barcode,herbarium,month,month_char,day,year,date,state,county,leafremoved,skel,stippling,blotch.mine,serpentine.mine,leafminer.oviholes,leaf.galls,leaf.roller,sooty.mould,unknown.lesions,aphids,spidermites,softscaleinsects
desmodium_canadense,NA_getlater,NA,NA,NEBC,9,Sep,5,1901,9/5/1901,Connecticut,Fairfield,1,0,0,0,0,0,0,0,0,0,1,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,6,Jun,22,1963,6/22/1963,Connecticut,Fairfield,1,0,1,0,0,0,2,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,6,Jun,22,1963,6/22/1963,Connecticut,Fairfield,2,0,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,Gray,5,May,25,1890,5/25/1890,Connecticut,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,NA,NA,Gray,5,May,14,1896,5/14/1896,Connecticut,Fairfield,3,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,EH_Eames,NA,NA,GH,5,May,13,1898,5/13/1898,Connecticut,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,EH_Eames,2,NA,NEBC,5,May,16,1898,5/16/1898,Connecticut,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,EH_Eames,NA,NA,NEBC,5,May,16,1898,5/16/1898,Connecticut,Fairfield,1,0,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,NA,NA,NEBC,5,May,14,1896,5/14/1896,Connecticut,Farifield,2,0,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,6,Jun,17,1906,6/17/1906,Connecticut,Hartford,3,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,CA_Weatherby,2910,NA,NEBC,5,May,6,1913,5/6/1913,Connecticut,Hartford,1,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,AE_Blewitt,1754,NA,NEBC,6,Jun,29,1913,6/29/1913,Connecticut,Hartford,4,0,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,NA,NA,NEBC,8,Aug,1,1918,8/1/1918,Connecticut,Hartford,3,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,3644,NA,Gray,8,Aug,11,2005,8/11/2005,Connecticut,Hartford,5,1,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,7,Jul,11,1898,7/11/1898,Connecticut,Hartford,0,0,0,0,0,0,3,1,0,2,0,0,0
quercus_bicolor,NA_getlater,NA,NA,NEBC,8,Aug,3,1898,8/3/1898,Connecticut,Hartford,2,0,2,0,0,0,0,0,0,0,0,0,1
desmodium_canadense,NA_getlater,NA,NA,NEBC,8,Aug,6,1898,8/6/1898,Connecticut,Hartford,1,4,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,CA_Weatherby,5667,NA,GH,5,May,19,1927,5/19/1927,Connecticut,Litchfield,0,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,UFW_CA_Weatherby,5667,NA,NEBC,5,May,19,1927,5/19/1927,Connecticut,Litchfield,0,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,90446,NA,NEBC,8,Aug,28,1980,8/28/1980,Connecticut,Litchfield,4,0,0,0,0,0,0,0,0,3,0,0,0
vaccinium_angustifolium,LJ_Mehrhoff_J_Reynolds,15488,NA,NEBC,5,May,18,1992,5/18/1992,Connecticut,Litchfield,1,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,EBH,NA,NA,NEBC,7,Jul,30,1899,7/30/1899,Connecticut,New Haven,1,1,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,CB_Graves,NA,NA,GH,6,Jun,17,1899,6/17/1899,Connecticut,New London,1,0,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,NA,NA,NEBC,5,May,13,1910,5/13/1910,Connecticut,New Haven,0,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,8,Aug,6,1911,8/6/1911,Connecticut,New Haven,1,2,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,NA,NA,NEBC,6,Jun,8,1888,6/8/1888,Connecticut,New Haven,1,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,7,Jul,21,1896,7/21/1896,Connecticut,New Haven,1,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,8,Aug,3,1896,8/3/1896,Connecticut,New Haven,2,3,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,6,Jun,6,1897,6/6/1897,Connecticut,New Haven,0,0,0,0,0,0,0,0,0,2,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,8,Aug,15,1909,8/15/1909,Connecticut,New London,1,1,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,10080,NA,Gray,5,May,25,1981,5/25/1981,Connecticut,New London,5,0,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,NA,NA,NEBC,8,Aug,22,1985,8/22/1985,Connecticut,New London,1,0,4,0,0,0,0,0,0,2,0,0,0
desmodium_canadense,NA_getlater,17076,NA,Gray,8,Aug,16,1986,8/16/1986,Connecticut,New London,1,1,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,22495,NA,Gray,8,Aug,6,1991,8/6/1991,Connecticut,New London,3,0,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,5473,NA,NEBC,6,Jun,9,1926,6/9/1926,Connecticut,Tolland,0,0,0,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,LJ_Mehrhoff,3663,NA,NEBC,5,May,3,1981,5/3/1981,Connecticut,Tolland,0,0,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,14777,NA,NEBC,7,Jul,21,1991,7/21/1991,Connecticut,Tolland,2,2,0,0,0,0,0,0,1,1,0,0,0
carya_ovata,NA_getlater,19301,NA,NEBC,5,May,31,1997,5/31/1997,Connecticut,Tolland,0,0,0,0,0,0,0,0,0,0,0,0,0
quercus_bicolor,NA_getlater,5185,NA,NEBC,6,Jun,24,1923,6/24/1923,Connecticut,Windham,1,0,2,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,5,May,27,1933,5/27/1933,Connecticut,Windham,0,0,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,7,Jul,8,1965,7/8/1965,Connecticut,Windham,0,0,2,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,19310,NA,NEBC,6,Jun,1,1997,6/1/1997,Connecticut,Windham,1,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,7,Jul,23,1915,7/23/1915,Maine,Androscaggin,0,1,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,2005,NA,NEBC,7,Jul,22,1898,7/22/1898,Maine,Androscaggin,1,0,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,6,Jun,27,1897,6/27/1897,Maine,Androscoggin,0,0,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC,6,Jun,27,1897,6/27/1897,Maine,Androscoggin,3,0,2,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,K_Furbish,NA,NA,NEBC,7,Jul,24,1896,7/24/1896,Maine,Androscoggin,0,0,0,0,0,0,0,0,0,1,0,0,0
desmodium_canadense,NA_getlater,NA,NA,Gray,8,Aug,1,1900,8/1/1900,Maine,Aroostook,1,0,1,0,0,0,0,0,0,0,0,0,0
vaccinium_angustifolium,RA_Ware,NA,NA,NEBC,7,Jul,18,1908,7/18/1908,Maine,Aroostook,0,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,1972,NA,NEBC,8,Aug,10,1909,8/10/1909,Maine,Aroostook,3,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,7,Jul,23,1917,7/23/1917,Maine,Aroostook,1,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,7,Jul,28,1917,7/28/1917,Maine,Aroostook,0,0,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,1348,NA,NEBC,8,Aug,17,1938,8/17/1938,Maine,Aroostook,2,1,0,0,0,0,0,0,0,0,0,0,0
desmodium_canadense,NA_getlater,NA,NA,NEBC,8,Aug,26,1965,8/26/1965,Maine,Aroostook,1,0,0,0,0,0,0,0,0,0,1,0,0
vaccinium_angustifolium,ML_Fernald,2410,NA,NEBC,6,Jun,8,1898,6/8/1898,Maine,Aroostook,0,1,0,0,0,0,0,0,0,0,0,0,0
carya_ovata,NA_getlater,NA,NA,NEBC_,6,Jun,23,1902,6/23/1902,Maine,Cumberland,0,0,0,0,0,0,0,0,0,2,0,0,0
