"","county","state","plant_genus_species","MF","abscission_num","barcode","herbarium","month","month_char","day","year","date","leafremoved","skel","stippling","blotch.mine","serpentine.mine","leafminer.oviholes","leaf.galls","leaf.roller","sooty.mould","unknown.lesions","aphids","spidermites","softscaleinsects","decimalLongitude","decimalLatitude","binary_chew","binary_skel","binary_stipp","binary_SM","binary_lgalls","binary_blotchmines","binary_serpmines"
"1","Addison","Vermont","quercus_bicolor","NA_getlater",NA,NA,"Gray",5,"May",27,1908,"5/27/1908",0,0,0,0,0,0,0,0,0,0,0,0,0,-73.14171839,44.03020186,0,0,0,0,0,0,0
"2","Addison","Vermont","vaccinium_angustifolium","CH_Knowlton",NA,NA,"NEBC",5,"May",14,1933,"5/14/1933",0,0,0,0,0,0,0,0,0,0,0,0,0,-73.14171839,44.03020186,0,0,0,0,0,0,0
"3","Addison","Vermont","quercus_bicolor","NA_getlater",NA,NA,"NEBC",9,"Sep",13,1882,"9/13/1882",1,1,0,0,0,0,0,0,0,0,0,0,0,-73.14171839,44.03020186,1,1,0,0,0,0,0
"4","Androscoggin","Maine","vaccinium_angustifolium","K_Furbish",NA,NA,"NEBC",7,"Jul",24,1896,"7/24/1896",0,0,0,0,0,0,0,0,0,1,0,0,0,-70.20664907,44.16572498,0,0,0,0,0,0,0
"5","Androscoggin","Maine","carya_ovata","NA_getlater",NA,NA,"NEBC",6,"Jun",27,1897,"6/27/1897",0,0,0,0,0,0,0,0,0,0,0,0,0,-70.20664907,44.16572498,0,0,0,0,0,0,0
"6","Androscoggin","Maine","carya_ovata","NA_getlater",NA,NA,"NEBC",6,"Jun",27,1897,"6/27/1897",3,0,2,0,0,0,0,0,0,0,0,0,0,-70.20664907,44.16572498,1,0,1,0,0,0,0
"7","Aroostook","Maine","desmodium_canadense","NA_getlater",NA,NA,"Gray",8,"Aug",1,1900,"8/1/1900",1,0,1,0,0,0,0,0,0,0,0,0,0,-68.59753795,46.65881107,1,0,1,0,0,0,0
"8","Aroostook","Maine","desmodium_canadense","NA_getlater",NA,NA,"NEBC",7,"Jul",23,1917,"7/23/1917",1,0,0,0,0,0,0,0,0,0,0,0,0,-68.59753795,46.65881107,1,0,0,0,0,0,0
"9","Aroostook","Maine","desmodium_canadense","NA_getlater",NA,NA,"NEBC",7,"Jul",28,1917,"7/28/1917",0,0,0,0,0,0,0,0,0,0,0,0,0,-68.59753795,46.65881107,0,0,0,0,0,0,0
"10","Aroostook","Maine","desmodium_canadense","NA_getlater","1348",NA,"NEBC",8,"Aug",17,1938,"8/17/1938",2,1,0,0,0,0,0,0,0,0,0,0,0,-68.59753795,46.65881107,1,1,0,0,0,0,0
"11","Aroostook","Maine","desmodium_canadense","NA_getlater","1972",NA,"NEBC",8,"Aug",10,1909,"8/10/1909",3,0,0,0,0,0,0,0,0,0,0,0,0,-68.59753795,46.65881107,1,0,0,0,0,0,0
"12","Aroostook","Maine","vaccinium_angustifolium","RA_Ware",NA,NA,"NEBC",7,"Jul",18,1908,"7/18/1908",0,0,0,0,0,0,0,0,0,0,0,0,0,-68.59753795,46.65881107,0,0,0,0,0,0,0
"13","Aroostook","Maine","desmodium_canadense","NA_getlater",NA,NA,"NEBC",8,"Aug",26,1965,"8/26/1965",1,0,0,0,0,0,0,0,0,0,1,0,0,-68.59753795,46.65881107,1,0,0,0,0,0,0
"14","Aroostook","Maine","vaccinium_angustifolium","ML_Fernald","2410",NA,"NEBC",6,"Jun",8,1898,"6/8/1898",0,1,0,0,0,0,0,0,0,0,0,0,0,-68.59753795,46.65881107,0,1,0,0,0,0,0
"15","Barnstable","Massachusetts","vaccinium_angustifolium","GG_Kennedy",NA,NA,"NEBC",7,"Jul",21,1909,"7/21/1909",3,0,0,0,0,0,0,0,0,0,0,0,0,-70.29265824,41.72741411,1,0,0,0,0,0,0
"16","Barnstable","Massachusetts","vaccinium_angustifolium","ML_Fernald_B_Long","17276",NA,"NEBC",8,"Aug",22,1918,"8/22/1918",5,2,0,0,0,0,0,0,0,0,0,0,0,-70.29265824,41.72741411,1,1,0,0,0,0,0
"17","Barnstable","Massachusetts","vaccinium_angustifolium","RJ_Eaton_HK_Svensen","450",NA,"NEBC",6,"Jun",11,1971,"6/11/1971",1,0,0,0,0,0,0,0,0,0,0,0,0,-70.29265824,41.72741411,1,0,0,0,0,0,0
"18","Barnstable","Massachusetts","vaccinium_angustifolium","CH_Knowlton",NA,NA,"NEBC",8,"Aug",23,1920,"8/23/1920",3,1,0,0,0,0,0,0,0,0,0,0,0,-70.29265824,41.72741411,1,1,0,0,0,0,0
"19","Barnstable","Massachusetts","quercus_bicolor","NA_getlater",NA,NA,"Arnold",5,"May",30,1963,"5/30/1963",0,0,0,0,0,0,0,0,0,0,0,0,0,-70.29265824,41.72741411,0,0,0,0,0,0,0
"20","Barnstable","Massachusetts","vaccinium_angustifolium","ML_Fernald_B_Long","18937",NA,"NEBC",7,"Jul",17,1919,"7/17/1919",2,0,0,0,0,0,0,0,0,0,0,0,0,-70.29265824,41.72741411,1,0,0,0,0,0,0
"21","Barnstable","Massachusetts","vaccinium_angustifolium","CH_Knowlton",NA,NA,"NEBC",7,"Jul",8,1915,"7/8/1915",3,0,0,0,0,0,0,0,0,0,0,0,0,-70.29265824,41.72741411,1,0,0,0,0,0,0
