"","county","decimalLatitude","decimalLongitude","state","plant_genus_species","mean_lrem","mean_skel","mean_stipp","mean_bmine","mean_smine","mean_SM"
"1","Aroostook",46.65881107,-68.59753795,"Maine","desmodium_canadense",1.33333333333333,0.166666666666667,0.166666666666667,0,0,0
"2","Belknap",43.51819011,-71.42336011,"New Hampshire","desmodium_canadense",2,1.5,0,0,0,0
"3","Bennington",43.03516549,-73.09382147,"Vermont","desmodium_canadense",2,1,0,0,0,0
"4","Berkshire",42.3708893,-73.20736933,"Massachusetts","desmodium_canadense",2.66666666666667,0.333333333333333,0,0,0,0
"5","Caledonia",44.46478495,-72.1023771,"Vermont","desmodium_canadense",1,0,0,0,0,0
"6","Carroll",43.87354949,-71.20280644,"New Hampshire","desmodium_canadense",2.33333333333333,0.666666666666667,0.333333333333333,0,0,0
"7","Cheshire",42.91987071,-72.25131549,"New Hampshire","desmodium_canadense",1.57142857142857,0.428571428571429,0,0,0,0
"8","Chittenden",44.46078451,-73.08157094,"Vermont","desmodium_canadense",1,0,0,0,0,0
"9","Coos",44.69113626,-71.30575056,"New Hampshire","desmodium_canadense",0,0,2,0,0,0
"10","Cumberland",43.85089087,-70.42166764,"Maine","desmodium_canadense",2,0,1,0,0,0
"11","Dukes",41.38783074,-70.63580856,"Massachusetts","desmodium_canadense",3,2,0,0.666666666666667,1,0
"12","Essex",42.67251757,-70.95675298,"Massachusetts","desmodium_canadense",2,0,0,0,0,0
"13","Fairfield",41.2735673,-73.38971484,"Connecticut","desmodium_canadense",1,0,0,0,0,0
"14","Franklin",42.58285555,-72.59088089,"Massachusetts","desmodium_canadense",1.5,0.75,0,0,0,0
"15","Franklin",44.85732541,-72.91218769,"Vermont","desmodium_canadense",1.5,0.5,0,0,0,0
"16","Franklin",44.97446879,-70.44456105,"Maine","desmodium_canadense",0.5,0.5,0,0,0,0
"17","Grafton",43.94064865,-71.82037983,"New Hampshire","desmodium_canadense",1.75,0,0,0,0,0
"18","Grand Isle",44.79648049,-73.29579597,"Vermont","desmodium_canadense",1,0,0,0,0,0
"19","Hampden",42.13519179,-72.63148328,"Massachusetts","desmodium_canadense",1.25,1.25,0.75,0.5,0,0
"20","Hartford",41.80663095,-72.73281062,"Connecticut","desmodium_canadense",3,2.5,0,0,0,0
"21","Hillsborough",42.91521915,-71.71640205,"New Hampshire","desmodium_canadense",1.75,1,0.25,0,0,0
"22","Kennebec",44.40918511,-69.76754865,"Maine","desmodium_canadense",3.5,0.5,0,0,0,0
"23","Kent",41.67199981,-71.59283792,"Rhode Island","desmodium_canadense",2,5,0,0,0,0
"24","Knox",44.16599739,-69.23415562,"Maine","desmodium_canadense",2,0,0,0,0,0
"25","Lincoln",44.08469776,-69.53816351,"Maine","desmodium_canadense",1,0,2.33333333333333,0.333333333333333,0,0
"26","Litchfield",41.79313353,-73.24593103,"Connecticut","desmodium_canadense",4,0,0,0,0,0
"27","Merrimack",43.2972412,-71.68020149,"New Hampshire","desmodium_canadense",1.66666666666667,1.33333333333333,0.333333333333333,0,0,0
"28","Middlesex",42.48561893,-71.39231762,"Massachusetts","desmodium_canadense",1.52631578947368,1.94736842105263,0.0526315789473684,0.263157894736842,0,0
"29","New Haven",41.4110097,-72.93220924,"Connecticut","desmodium_canadense",1.33333333333333,1.66666666666667,0,0,0,0
"30","New London",41.49007583,-72.10136656,"Connecticut","desmodium_canadense",1,1,0,0,0,0
"31","Norfolk",42.15578347,-71.22284325,"Massachusetts","desmodium_canadense",1,1,0,0,0,0
"32","Orange",44.00520414,-72.37708961,"Vermont","desmodium_canadense",3,0,0,0,0,0
"33","Oxford",44.50063479,-70.75677904,"Maine","desmodium_canadense",0.166666666666667,0,0,0,0,0
"34","Penobscot",45.40052445,-68.64944327,"Maine","desmodium_canadense",0,0.5,0,0,0,0
"35","Plymouth",41.95116826,-70.81229032,"Massachusetts","desmodium_canadense",1.33333333333333,0.333333333333333,0,0,0,0
"36","Providence",41.87209876,-71.58140319,"Rhode Island","desmodium_canadense",2.66666666666667,0,0,0,0,0
"37","Rockingham",42.9862675,-71.12965423,"New Hampshire","desmodium_canadense",0.666666666666667,1.66666666666667,0.333333333333333,0,0,0
"38","Rutland",43.57979599,-73.03849339,"Vermont","desmodium_canadense",2.5,1.25,0,0.75,0,0
"39","Somerset",45.51395705,-69.95928163,"Maine","desmodium_canadense",2,0,0,0,0,0
"40","Suffolk",42.30617406,-71.10355093,"Massachusetts","desmodium_canadense",1.5,1.5,0,0.5,0,0
"41","Sullivan",43.36082213,-72.22193259,"New Hampshire","desmodium_canadense",1,0,0,0,0,0
"42","Washington",41.47898279,-71.62418496,"Rhode Island","desmodium_canadense",2,0,0,0,0,0
"43","Windham",42.99027958,-72.71386511,"Vermont","desmodium_canadense",1,0.333333333333333,0,1.33333333333333,0,0
"44","Windsor",43.57931592,-72.58536362,"Vermont","desmodium_canadense",2,0.5,0,0,0,0
"45","Worcester",42.35208868,-71.90798778,"Massachusetts","desmodium_canadense",1.16666666666667,1,0.666666666666667,0,0,0
"46","York",43.48033291,-70.71549145,"Maine","desmodium_canadense",1.33333333333333,0,0,0.666666666666667,0,0
