Record ID number,Order,Family,Species,Selection history,Plant growth form,Duration,Study code,Country,Location,Latitude,Longitude,Coordinates notes,KG climate simple,KG climate full,Habitat description,Population information,Population origin,Year,Season,Month,Standing or marked leaves,Leaf age,Area measurement method,Sampling details,Length of marking (days),Data source,Annual herbivory rate (%),Annual error estimate,Annual error value,Number of replicates,Daily herbivory rate (%),Daily error estimate,Daily error value,Consumers
964,Gentianales,Rubiaceae,Galium biflorum,Wild,Forb/herb,Perennial,mDJ,USA,Rocky Mountains,"38d57'56""N","106d59'12""W",Coordinates from the article,Cold,Cold without dry season and cold summer,Meadow-woodland,Sunny section of ecotone,Natural,"1981, 1982",Summer,"July, August",Standing,Mature,Grid,5 leaves sampled per plant (10 plants per species),NA,P.144 Table 1,1.6,SE,0.8,10,NA,NA,NA,"Coleoptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
965,Gentianales,Rubiaceae,Galium biflorum,Wild,Forb/herb,Perennial,mDJ,USA,Rocky Mountains,"38d57'56""N","106d59'12""W",Coordinates from the article,Cold,Cold without dry season and cold summer,Meadow-woodland,Shaded section of ecotone,Natural,"1981, 1982",Summer,"July, August",Standing,Mature,Grid,5 leaves sampled per plant (10 plants per species),NA,P.144 Table 1,3.2,SE,1.1,10,NA,NA,NA,"Coleoptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
966,Gentianales,Rubiaceae,Galium boreale,Wild,Forb/herb,Perennial,cDM,Canada,Alberta,61dN,138dW,Coordinates from the article,Cold,Cold dry summer and cold summer,Grassland and forest,Control treatment (not touched),Natural,2000,Summer,August,Standing,NA,Visual,"Estimated herbivore damage per plant, comparing handling treatments, ",NA,P.273 Figure 1,11.825,SE,4.45,92,NA,NA,NA,Insecta (general)
967,Gentianales,Rubiaceae,Galium boreale,Wild,Forb/herb,Perennial,mAG,Canada,"Koffler Scientific Reserve, King City, Ontario",44d03'N,79d29'W,Coordinates from the article,Cold,Cold without dry season and warm summer,Fallow field,NA,Planted,2002,Fall,September,Standing,Mature,Visual,10 leaves sampled per plant,NA,P.714 Figure 1,0.762032086,NA,NA,15,NA,NA,NA,Insecta (general)
968,Gentianales,Rubiaceae,Galium boreale,Wild,Forb/herb,Perennial,mAH,Canada,"Koffler Scientific Reserve, King City, Ontario",44d03'N,79d29'W,Coordinates from the article,Cold,Cold without dry season and warm summer,Fallow field,NA,Planted,2003,Fall,August,Standing,Mature,Visual,10 leaves sampled per plant,NA,P.2984 Figure 1a,0.254512777,SE,0.5,15,NA,NA,NA,Insecta (general)
969,Gentianales,Rubiaceae,Galium boreale,Wild,Forb/herb,Perennial,mBW,USA,Rocky Mountain Biological Lab,38d57_29__N,106d59_06__W,Coordinates from the article,Cold,Cold without dry season and cold summer,Meadow-woodland,NA,Natural,2009,Fall,August,Standing,Mature,Visual,>8 leaves sampled per plant,NA,Appendix (multiplied by 100),6.8,NA,NA,8,NA,NA,NA,NA
970,Gentianales,Rubiaceae,Galium mollugo agg.,Wild,Forb/herb,Perennial,mDV,Germany,"Saale River, Jena, Central Germany","50d57'0.6""N","11d37'19""E",Coordinates from the article,Cold,Cold without dry season and warm summer,Grassland,Fences kept out large grazing herbivores,Planted,2010,Summer,All year,Standing,Mature,Visual,30 mature leaves sampled prior to maximum biomass in each May and August; author says best yearly measure is an average of both (rates did not differ significantly with season),NA,"Supplementary Table 1 (mean of both seasons, excluding sucking damage)",0.875,NA,NA,10,NA,NA,NA,"Insecta (general), Vertebrata"
971,Gentianales,Rubiaceae,Galium verum ,Wild,"Vine, forb/herb",Perennial,mAG,Canada,"Koffler Scientific Reserve, King City, Ontario",44d03'N,79d29'W,Coordinates from the article,Cold,Cold without dry season and warm summer,Fallow field,NA,Planted,2002,Fall,September,Standing,Mature,Visual,10 leaves sampled per plant,NA,P.714 Figure 1,0.200534759,NA,NA,15,NA,NA,NA,Insecta (general)
972,Gentianales,Rubiaceae,Galium verum ,Wild,"Vine, forb/herb",Perennial,mAH,Canada,"Koffler Scientific Reserve, King City, Ontario",44d03'N,79d29'W,Coordinates from the article,Cold,Cold without dry season and warm summer,Fallow field,NA,Planted,2003,Fall,August,Standing,Mature,Visual,10 leaves sampled per plant,NA,P.2984 Figure 1a,0.898876404,SE,0.5,15,NA,NA,NA,Insecta (general)
1462,Malpighiales,Violaceae,Viola nuttallii,Wild,Forb/herb,Perennial,mDJ,USA,Rocky Mountains,"38d57'56""N","106d59'12""W",Coordinates from the article,Cold,Cold without dry season and cold summer,Meadow-woodland,Sunny section of ecotone,Natural,"1981, 1982",Summer,"July, August",Standing,Mature,Grid,5 leaves sampled per plant (10 plants per species),NA,P.144 Table 1,7.4,SE,1.7,10,NA,NA,NA,"Coleoptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
