"","to1820","to1840","to1860","to1880","to1900","to1920","to1940","to1960","to1980","to2000","to2016","after2016"
"Acer negundo",0,0,0,0,21,22,10,5,4,2,2,0
"Acer pensylvanicum",0,0,0,4,22,66,16,7,7,3,0,0
"Actaea pachypoda",0,0,0,1,21,59,19,7,3,4,0,0
"Actaea rubra",0,1,1,3,33,58,22,7,1,3,0,0
"Agalinis paupercula",0,0,1,2,24,71,35,10,3,0,0,0
"Alisma triviale",0,1,1,0,4,10,4,1,3,0,1,0
"Amaranthus retroflexus",0,0,1,5,16,26,14,20,3,0,1,0
"Ambrosia artemisiifolia",0,0,3,7,25,65,26,5,8,2,2,0
"Amphicarpaea bracteata",0,0,4,6,33,47,14,6,1,0,0,0
"Anemone quinquefolia",0,0,2,3,48,77,26,8,1,2,0,0
"Apocynum androsaemifolium",0,0,2,7,49,54,26,10,3,0,0,0
"Aralia hispida",0,0,1,3,17,47,21,6,3,2,1,0
"Aralia nudicaulis",0,1,1,4,22,86,23,2,3,5,0,0
"Arisaema triphyllum",0,0,0,3,41,77,34,20,7,2,0,0
"Asclepias syriaca",0,0,1,5,32,45,10,18,2,0,0,0
"Aureolaria flava",0,0,0,4,25,38,15,5,1,5,0,0
"Aureolaria pedicularia",0,0,1,5,32,40,17,7,5,0,0,0
"Baptisia tinctoria",0,0,0,8,35,53,18,5,1,4,0,0
"Bidens cernua",0,0,1,5,29,37,13,6,2,2,0,0
"Bidens frondosa",0,0,0,2,23,50,17,8,3,3,1,0
"Bidens laevis",0,0,1,5,17,29,14,3,0,1,0,0
"Boehmeria cylindrica",0,0,1,4,26,46,20,13,2,2,0,0
"Brasenia schreberi",0,0,1,2,25,14,8,17,2,3,0,0
"Caltha palustris",0,0,0,12,91,100,44,14,8,0,0,0
"Campanula aparinoides",0,0,0,6,24,33,20,9,0,0,0,0
"Campanula rotundifolia",0,0,0,2,15,29,9,0,2,1,0,0
"Cardamine bulbosa",0,0,1,6,20,19,1,2,0,1,0,0
"Cardamine pratensis",0,0,0,0,1,18,4,2,4,4,1,0
"Catalpa bignonioides",0,0,0,0,1,4,1,2,1,0,0,0
"Cephalanthus occidentalis",0,0,1,6,24,44,23,6,0,0,1,0
"Chamaecrista fasciculata",0,0,1,4,24,27,10,1,2,1,6,0
"Chamaedaphne calyculata",0,0,6,16,71,145,51,13,4,7,2,0
"Chelone glabra",0,0,1,2,16,47,20,0,3,0,0,0
"Chimaphila umbellata",0,0,0,0,0,2,0,0,0,0,0,0
"Cicuta bulbifera",0,0,1,3,22,28,12,4,0,3,3,0
"Cicuta maculata",0,0,2,5,28,41,19,5,1,1,0,0
"Claytonia virginica",0,0,0,1,7,9,3,1,2,6,0,0
"Clethra alnifolia",0,0,1,9,34,64,40,16,2,5,3,0
"Comandra umbellata",0,0,2,7,31,49,33,5,1,2,1,0
"Coptis trifolia",0,0,2,10,22,71,23,10,4,1,0,0
"Cornus alternifolia",0,0,1,3,25,69,17,5,3,0,0,0
"Cornus florida",0,0,2,8,40,61,24,15,4,2,0,0
"Cornus racemosa",0,0,2,7,34,62,18,11,5,3,1,0
"Cornus rugosa",0,0,0,0,1,0,0,0,0,0,0,0
"Cuscuta gronovii",0,0,2,8,33,85,35,13,7,4,1,0
"Decodon verticillatus",0,0,2,4,37,68,26,7,3,1,2,0
"Desmodium marilandicum",0,0,1,1,20,30,3,3,1,4,1,0
"Desmodium nudiflorum",0,0,3,8,27,26,10,4,4,4,1,0
"Diervilla lonicera",0,0,0,2,31,49,16,9,1,1,1,0
"Doellingeria infirma",0,0,0,0,13,6,3,0,0,2,0,0
"Doellingeria umbellata",0,0,1,4,16,48,23,3,1,6,3,0
"Drosera intermedia",0,0,0,5,39,80,23,7,4,1,1,0
"Drosera rotundifolia",0,0,1,4,28,58,18,6,0,1,2,0
"Echinocystis lobata",0,0,0,1,22,21,13,6,2,5,3,0
"Epigaea repens",0,0,2,5,37,88,28,11,3,3,0,0
"Epilobium coloratum",0,0,1,2,31,71,22,1,2,3,1,0
"Erechtites hieraciifolia",0,0,0,4,20,78,43,7,2,0,0,0
"Erigeron annuus",0,0,3,0,13,39,9,5,3,2,1,0
"Erigeron philadelphicus",0,0,0,0,4,3,2,1,0,1,0,0
"Erigeron pulchellus",0,0,0,2,45,81,28,7,2,0,0,0
"Eupatorium perfoliatum",0,0,1,3,25,61,33,10,4,2,2,0
"Euthamia graminifolia",0,0,0,4,24,75,44,9,5,2,4,0
"Galium asprellum",0,0,0,7,14,25,15,5,1,1,0,0
"Galium circaezans",0,0,0,1,2,13,6,3,0,2,0,0
"Galium triflorum",0,0,2,5,18,64,12,12,6,1,0,0
"Gaultheria procumbens",0,0,0,2,13,70,15,9,2,0,2,0
"Gaylussacia baccata",0,0,1,2,31,116,34,18,1,4,2,0
"Geranium maculatum",0,0,1,3,35,72,17,7,3,2,0,0
"Gratiola aurea",0,0,0,1,1,5,2,0,0,1,1,0
"Hibiscus moscheutos",0,1,1,2,30,32,13,2,2,2,0,0
"Hieracium paniculatum",0,0,1,8,23,35,19,10,3,3,1,0
"Hieracium scabrum",0,0,3,7,35,59,24,5,0,2,1,0
"Hieracium venosum",0,1,3,4,39,70,12,8,1,0,0,0
"Houstonia caerulea",0,0,1,3,14,37,5,0,1,0,0,0
"Hypericum ellipticum",0,1,1,5,20,44,10,3,1,2,1,0
"Hypericum gentianoides",0,0,0,4,21,60,23,9,5,6,3,0
"Hypericum punctatum",0,0,2,6,29,50,10,5,0,3,0,0
"Hypoxis hirsuta",0,1,0,5,27,53,20,3,3,2,0,0
"Ilex verticillata",0,0,2,7,54,211,70,14,6,6,1,0
"Impatiens capensis",0,0,2,6,39,65,23,2,6,2,1,0
"Iris prismatica",0,1,0,5,21,54,12,1,1,1,0,0
"Iris versicolor",0,0,1,8,37,64,23,0,1,2,0,0
"Kalmia angustifolia",0,0,0,3,26,80,34,10,3,1,1,0
"Kalmia latifolia",0,0,2,9,46,172,43,20,4,2,2,0
"Krigia virginica",0,0,0,0,0,0,0,3,0,0,0,0
"Lactuca biennis",0,0,2,1,18,28,20,2,2,0,1,0
"Lechea intermedia",0,0,0,7,24,48,15,12,1,2,1,0
"Lepidium virginicum",0,0,0,7,39,58,14,3,5,4,0,0
"Lespedeza capitata",0,0,3,5,35,97,22,20,2,1,3,0
"Lespedeza frutescens",0,0,4,4,36,25,7,3,3,4,1,0
"Lespedeza hirta",0,0,0,4,15,54,13,5,2,2,0,0
"Lespedeza virginica",0,0,2,2,13,39,8,1,2,7,1,0
"Lilium philadelphicum",0,0,2,9,28,45,17,4,1,4,0,0
"Lindera benzoin",0,0,2,6,33,63,27,9,7,6,1,0
"Lobelia inflata",0,0,1,6,33,41,18,5,4,2,1,0
"Ludwigia alternifolia",0,0,0,5,14,15,4,3,3,5,2,0
"Ludwigia palustris",0,1,0,4,23,30,17,4,2,0,0,0
"Lupinus perennis",0,0,3,8,23,60,29,4,1,2,0,0
"Lycopus americanus",0,0,1,6,49,132,32,15,1,5,1,0
"Lycopus virginicus",0,0,2,5,10,52,9,4,0,4,2,0
"Lysimachia hybrida",0,0,1,0,2,3,0,0,0,0,0,0
"Lysimachia quadrifolia",0,0,1,8,35,66,17,15,2,2,1,0
"Lysimachia terrestris",0,1,2,3,37,69,28,17,3,1,1,0
"Lysimachia thyrsiflora",0,0,1,4,27,24,4,3,0,2,1,0
"Maianthemum racemosum",0,0,1,5,31,81,41,6,8,0,4,0
"Melampyrum lineare",0,0,2,5,32,73,16,16,4,4,2,0
"Mentha arvensis",0,0,0,3,26,51,7,9,4,0,2,0
"Mimulus ringens",0,0,1,4,20,33,14,9,3,0,2,0
"Mitchella repens",0,0,0,6,32,75,18,7,5,1,0,0
"Moehringia lateriflora",0,0,2,3,34,81,25,9,1,4,0,0
"Mollugo verticillata",0,0,2,7,13,51,20,15,2,3,2,0
"Monotropa hypopithys",0,0,2,18,52,116,34,14,4,2,4,0
"Monotropa uniflora",0,0,1,7,17,38,17,8,2,2,0,0
"Morella pensylvanica",0,0,0,0,0,0,1,0,0,0,0,0
"Myosotis laxa",0,0,1,3,31,25,8,1,2,2,0,0
"Myrica gale",0,0,0,1,26,59,25,7,2,3,0,0
"Oenothera biennis",0,0,1,3,17,60,15,5,4,0,3,0
"Oxalis stricta",0,0,2,9,33,115,29,7,9,1,0,0
"Packera aurea",0,0,2,5,20,68,24,2,2,4,0,0
"Parthenocissus quinquefolia",0,0,0,2,18,80,18,9,4,6,0,0
"Penthorum sedoides",0,0,0,6,24,30,5,4,6,1,2,0
"Podophyllum peltatum",0,0,0,0,5,24,1,0,3,0,1,0
"Polygala paucifolia",0,1,2,7,50,57,26,4,2,1,0,0
"Polygala sanguinea",0,0,9,11,40,68,37,23,4,3,1,0
"Polygonum arifolium",0,0,3,4,27,25,20,3,2,1,1,0
"Polygonum hydropiperoides",0,0,3,7,23,50,18,14,4,4,0,0
"Polygonum lapathifolium",0,0,4,3,23,39,17,4,5,1,1,0
"Polygonum pensylvanicum",0,0,2,10,27,61,35,5,3,1,2,0
"Polygonum sagittatum",0,0,1,3,27,54,23,7,1,1,0,0
"Potentilla arguta",0,0,0,4,12,12,3,1,1,2,0,0
"Potentilla norvegica",0,0,0,4,24,59,21,8,1,2,0,0
"Prunella vulgaris",0,0,0,0,6,38,8,6,1,0,0,0
"Prunus pensylvanica",0,0,2,4,34,96,20,8,2,5,0,0
"Pyrola chlorantha",0,0,1,6,27,45,15,4,2,0,0,0
"Pyrola elliptica",0,0,1,7,25,58,19,8,2,2,0,0
"Ranunculus abortivus",0,0,0,2,46,90,20,7,9,1,1,0
"Ranunculus recurvatus",0,1,0,2,27,73,11,5,2,2,0,0
"Rhexia virginica",0,0,2,10,37,78,33,8,1,0,1,0
"Rhododendron viscosum",0,0,0,6,35,130,44,12,3,3,1,0
"Rhus copallinum",0,0,0,0,0,1,0,0,0,0,0,0
"Rhus glabra",0,0,1,6,43,51,20,3,2,0,0,0
"Robinia pseudoacacia",0,0,0,3,17,35,8,6,4,0,4,0
"Rosa nitida",0,0,2,3,28,18,1,1,1,0,1,0
"Sagittaria latifolia",0,0,2,6,68,102,28,5,5,3,0,0
"Sambucus nigra",0,0,1,1,0,7,0,0,0,0,0,0
"Sanicula marilandica",0,0,1,2,31,52,10,11,1,1,1,0
"Sarracenia purpurea",0,0,0,5,23,34,17,3,1,0,1,0
"Saxifraga virginiensis",0,0,3,7,42,70,14,1,1,4,1,0
"Scutellaria galericulata",0,0,2,8,21,54,29,11,0,1,0,0
"Scutellaria lateriflora",0,0,2,3,20,54,20,14,2,1,0,0
"Sicyos angulatus",0,0,0,3,17,23,6,4,3,1,1,0
"Sisyrinchium angustifolium",1,0,0,2,9,48,19,5,2,1,3,0
"Sisyrinchium atlanticum",0,0,1,1,47,117,39,18,4,0,2,0
"Sium suave",0,0,3,7,49,62,22,5,4,4,0,0
"Smilax herbacea",0,0,1,6,35,56,31,11,3,1,1,0
"Smilax rotundifolia",0,0,0,2,24,84,28,9,1,3,2,0
"Solidago bicolor",0,0,2,5,24,59,31,3,3,2,0,0
"Solidago gigantea",0,0,4,7,42,75,22,12,3,0,3,0
"Solidago juncea",0,0,3,10,27,62,32,9,9,4,0,0
